지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
06	청주	남서	30˚	122.84	155.67	177.58	207.83	218.36	207.61	174.92	169.11	178.04	173.81	153.21	131.49	1511.3
06	청주	남서	45˚	130.97	161.64	177.06	198.20	202.01	189.65	164.06	160.51	173.57	177.46	162.67	142.57	1489.0
06	청주	남서	60˚	132.18	159.26	168.51	181.08	178.65	165.66	147.13	146.15	161.09	171.94	163.08	145.77	1401.3
06	청주	남서	90˚	113.72	130.89	129.47	129.14	120.01	110.22	103.09	104.33	117.59	136.70	138.01	127.72	1065.6
06	청주	동	30˚	86.73	114.38	142.03	189.45	209.38	210.09	169.14	163.58	151.54	132.37	104.50	84.48	1283.7
06	청주	동	45˚	83.76	108.06	132.27	176.37	192.43	194.25	157.94	154.09	139.67	124.33	98.84	80.29	1199.5
06	청주	동	60˚	78.89	100.31	120.51	159.56	171.33	173.62	143.13	140.92	125.27	114.03	91.73	75.33	1091.6
06	청주	동	90˚	65.20	80.17	92.53	119.46	124.46	126.46	108.19	107.14	92.62	88.34	72.99	61.12	831.5
06	청주	서	30˚	86.09	121.55	148.94	187.37	207.46	202.04	170.93	156.43	155.33	137.80	109.37	88.69	1293.9
06	청주	서	45˚	83.24	117.30	141.20	173.72	189.69	183.97	160.00	145.42	144.39	130.83	104.77	85.76	1212.3
06	청주	서	60˚	78.99	110.00	130.31	156.89	168.54	162.70	145.33	131.37	130.47	121.42	97.64	80.79	1105.7
06	청주	서	90˚	64.68	87.76	101.24	117.25	123.10	117.89	109.92	98.54	97.17	95.99	79.04	66.46	846.1
06	청주	북서	30˚	50.23	83.12	114.66	162.68	192.83	195.15	162.93	142.09	129.29	97.46	63.71	45.88	1052.2
06	청주	북서	45˚	40.29	68.12	94.98	137.50	165.61	170.10	145.97	123.32	108.12	78.69	48.98	35.42	889.5
06	청주	북서	60˚	36.36	58.94	80.16	114.98	137.57	142.31	126.29	104.89	90.45	66.84	42.38	31.64	754.8
06	청주	북서	90˚	33.56	49.39	62.21	84.93	96.95	99.34	92.86	78.12	67.84	54.50	38.14	30.46	576.0
06	청주	북동	30˚	50.54	78.61	109.76	164.02	193.93	201.19	161.65	147.75	126.50	94.04	61.14	44.28	1047.5
06	청주	북동	45˚	40.88	63.84	88.94	139.30	167.39	178.37	144.29	130.25	104.71	75.14	46.56	34.22	887.3
06	청주	북동	60˚	36.78	55.86	74.42	116.62	139.37	151.32	124.66	112.27	87.18	63.04	40.40	30.91	754.9
06	청주	북동	90˚	33.82	48.05	58.51	85.89	97.09	105.75	91.64	84.17	65.27	51.22	36.88	29.87	575.9
06	청주	북	30˚	31.36	60.09	95.51	152.12	187.81	195.81	159.78	138.75	116.41	74.56	38.25	25.34	932.8
06	청주	북	45˚	29.82	42.00	60.87	117.37	156.00	169.49	140.03	115.20	85.83	44.75	31.16	26.30	745.3
06	청주	북	60˚	30.85	42.83	45.58	78.29	116.92	135.14	113.75	86.65	58.96	43.05	32.36	27.35	593.5
06	청주	북	90˚	31.51	42.26	46.25	60.36	68.21	76.52	71.01	61.87	54.22	43.49	33.95	28.80	451.7
07	대전	수평	0˚	105.44	117.46	161.71	217.96	208.28	212.97	165.21	167.68	182.08	148.56	108.63	93.81	1380.2
07	대전	남	30˚	175.64	170.39	199.28	237.17	207.96	205.79	166.53	177.47	212.42	198.61	167.91	160.39	1664.0
07	대전	남	45˚	196.55	183.06	201.97	227.76	191.87	186.97	154.88	168.95	210.57	207.80	184.12	180.78	1675.1
07	대전	남	60˚	205.85	185.17	193.45	206.32	166.40	159.54	135.97	152.10	197.29	205.34	189.69	190.50	1596.2
07	대전	남	90˚	187.95	157.85	145.79	133.46	95.92	90.05	83.11	98.39	140.64	166.92	168.14	176.06	1199.2
07	대전	남동	30˚	150.50	152.18	183.98	227.04	208.13	206.52	165.47	172.13	203.59	182.37	147.21	139.91	1561.7
07	대전	남동	45˚	161.65	158.15	181.89	215.90	194.25	190.67	154.73	163.19	199.43	185.71	155.05	151.85	1542.0
07	대전	남동	60˚	163.83	155.65	171.85	196.88	173.29	168.46	138.14	148.41	186.91	179.94	154.56	155.48	1454.9
07	대전	남동	90˚	141.14	127.45	130.57	140.18	118.47	114.43	95.97	107.43	139.31	143.49	130.00	136.48	1112.8
07	대전	남서	30˚	155.15	153.58	188.19	231.51	203.98	206.83	165.39	177.01	199.89	181.16	150.32	137.85	1570.3
07	대전	남서	45˚	167.59	159.74	187.61	222.08	188.68	191.28	155.04	170.33	194.42	184.33	159.83	149.07	1554.8
07	대전	남서	60˚	170.87	157.54	178.46	203.90	167.12	169.41	138.95	157.06	181.05	178.30	160.45	152.04	1470.8
07	대전	남서	90˚	149.42	129.65	136.95	146.21	113.35	114.96	96.49	114.81	133.44	141.66	136.25	132.26	1127.7
07	대전	동	30˚	100.46	112.66	151.79	203.00	200.22	203.93	160.58	160.22	176.60	143.82	104.01	92.25	1321.7
07	대전	동	45˚	96.23	106.94	142.02	187.57	185.65	189.18	149.27	149.53	166.27	136.47	99.27	88.51	1239.4
07	대전	동	60˚	90.32	99.69	130.11	169.38	166.98	170.15	134.46	136.72	152.25	126.40	92.95	83.68	1134.3
07	대전	동	90˚	75.47	80.60	100.77	127.64	124.00	127.06	100.63	105.97	116.16	100.35	75.18	68.80	878.2
07	대전	서	30˚	105.17	114.53	157.29	209.09	194.09	204.27	160.48	167.57	171.95	142.43	108.02	89.60	1332.5
07	대전	서	45˚	102.53	109.59	148.89	195.33	177.78	189.86	149.54	159.59	160.34	134.98	104.10	85.57	1254.8
07	대전	서	60˚	98.22	102.40	137.31	177.40	158.56	171.16	134.85	147.30	145.83	125.18	97.82	80.25	1151.2
07	대전	서	90˚	81.83	82.08	107.27	133.77	116.81	126.83	100.01	113.55	111.10	98.56	80.13	65.94	889.4
07	대전	북서	30˚	54.44	72.66	119.74	178.65	181.13	196.69	152.88	151.29	139.90	100.27	63.65	44.21	1063.8
07	대전	북서	45˚	41.01	56.50	98.22	150.82	156.02	174.91	136.37	134.94	115.87	80.60	49.75	33.09	897.8
07	대전	북서	60˚	35.96	47.63	82.47	125.56	130.37	149.68	117.24	117.48	96.90	67.89	43.50	29.64	763.6
07	대전	북서	90˚	34.67	41.29	64.07	92.11	92.80	107.00	84.36	88.03	74.44	55.55	39.41	30.27	587.7
