지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
06	청주	북서	90˚	0.00	0.00	0.00	0.59	0.71	0.70	0.66	0.52	0.31	0.00	0.00	0.00
06	청주	북동	90˚	0.00	0.00	0.00	0.61	0.70	0.81	0.64	0.58	0.28	0.00	0.00	0.00
06	청주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	남	90˚	0.70	0.61	0.44	0.72	0.61	0.52	0.56	0.61	0.74	0.47	0.57	0.67
07	대전	남동	90˚	0.58	0.52	0.43	0.59	0.51	0.49	0.43	0.51	0.60	0.45	0.44	0.55
07	대전	남서	90˚	0.61	0.55	0.45	0.60	0.49	0.49	0.47	0.51	0.59	0.46	0.47	0.52
07	대전	동	90˚	0.25	0.25	0.25	0.41	0.40	0.37	0.34	0.35	0.39	0.22	0.14	0.20
07	대전	서	90˚	0.27	0.28	0.31	0.41	0.36	0.38	0.35	0.36	0.37	0.20	0.21	0.19
07	대전	북서	90˚	0.00	0.00	0.00	0.67	0.69	0.74	0.64	0.60	0.42	0.00	0.00	0.00
07	대전	북동	90˚	0.00	0.00	0.00	0.69	0.74	0.73	0.63	0.58	0.47	0.00	0.00	0.00
07	대전	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	남	90˚	0.68	0.59	0.52	0.72	0.63	0.52	0.55	0.60	0.73	0.45	0.59	0.70
08	대구	남동	90˚	0.61	0.52	0.52	0.59	0.52	0.50	0.44	0.48	0.58	0.33	0.44	0.60
08	대구	남서	90˚	0.59	0.51	0.49	0.57	0.54	0.49	0.46	0.51	0.58	0.43	0.46	0.60
08	대구	동	90˚	0.31	0.28	0.34	0.41	0.38	0.39	0.34	0.32	0.38	0.14	0.16	0.25
08	대구	서	90˚	0.26	0.27	0.33	0.39	0.41	0.38	0.36	0.35	0.36	0.17	0.19	0.23
08	대구	북서	90˚	0.00	0.00	0.01	0.64	0.80	0.78	0.68	0.56	0.41	0.00	0.00	0.00
08	대구	북동	90˚	0.00	0.00	0.01	0.68	0.72	0.78	0.65	0.55	0.48	0.00	0.00	0.00
08	대구	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	남	90˚	0.56	0.55	0.38	0.69	0.60	0.49	0.54	0.62	0.72	0.42	0.46	0.46
09	전주	남동	90˚	0.44	0.45	0.37	0.57	0.50	0.45	0.47	0.49	0.56	0.39	0.33	0.31
09	전주	남서	90˚	0.46	0.43	0.38	0.58	0.50	0.47	0.47	0.52	0.57	0.37	0.46	0.35
09	전주	동	90˚	0.14	0.18	0.22	0.39	0.38	0.34	0.36	0.34	0.36	0.16	0.06	0.02
09	전주	서	90˚	0.14	0.19	0.15	0.41	0.37	0.37	0.37	0.37	0.37	0.09	0.20	0.05
09	전주	북서	90˚	0.00	0.00	0.00	0.69	0.71	0.72	0.72	0.62	0.46	0.00	0.00	0.00
09	전주	북동	90˚	0.00	0.00	0.00	0.65	0.71	0.66	0.70	0.54	0.39	0.00	0.00	0.00
09	전주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	남	90˚	0.55	0.62	0.48	0.71	0.63	0.46	0.52	0.60	0.73	0.54	0.53	0.53
10	광주	남동	90˚	0.47	0.60	0.46	0.60	0.54	0.44	0.46	0.51	0.59	0.49	0.42	0.36
10	광주	남서	90˚	0.47	0.48	0.46	0.58	0.53	0.45	0.47	0.52	0.58	0.51	0.45	0.46
10	광주	동	90˚	0.23	0.40	0.29	0.42	0.40	0.36	0.35	0.37	0.38	0.25	0.16	0.09
10	광주	서	90˚	0.19	0.22	0.30	0.39	0.40	0.35	0.36	0.37	0.38	0.28	0.17	0.15
10	광주	북서	90˚	0.00	0.02	0.00	0.65	0.77	0.70	0.72	0.66	0.49	0.00	0.00	0.00
10	광주	북동	90˚	0.00	0.03	0.00	0.72	0.80	0.71	0.70	0.68	0.52	0.00	0.00	0.00
10	광주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	남	90˚	0.70	0.58	0.50	0.72	0.60	0.46	0.55	0.70	0.75	0.52	0.65	0.67
11	부산	남동	90˚	0.61	0.47	0.48	0.59	0.53	0.48	0.51	0.56	0.59	0.42	0.54	0.51
11	부산	남서	90˚	0.64	0.52	0.51	0.59	0.53	0.47	0.50	0.56	0.61	0.48	0.55	0.56
11	부산	동	90˚	0.30	0.27	0.31	0.41	0.41	0.37	0.39	0.39	0.39	0.20	0.22	0.20
11	부산	서	90˚	0.35	0.27	0.35	0.40	0.40	0.37	0.38	0.38	0.41	0.28	0.23	0.27
11	부산	북서	90˚	0.00	0.00	0.00	0.64	0.80	0.72	0.74	0.68	0.58	0.00	0.00	0.00
11	부산	북동	90˚	0.00	0.00	0.00	0.65	0.77	0.75	0.77	0.68	0.50	0.00	0.00	0.00
11	부산	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	남	90˚	0.52	0.52	0.35	0.70	0.60	0.47	0.56	0.63	0.71	0.53	0.58	0.40
12	목포	남동	90˚	0.42	0.40	0.33	0.57	0.52	0.44	0.50	0.54	0.58	0.50	0.48	0.30
12	목포	남서	90˚	0.40	0.45	0.33	0.58	0.53	0.47	0.47	0.52	0.57	0.51	0.47	0.30
12	목포	동	90˚	0.16	0.15	0.17	0.40	0.39	0.35	0.38	0.40	0.38	0.29	0.17	0.03
12	목포	서	90˚	0.16	0.22	0.18	0.40	0.40	0.36	0.36	0.37	0.35	0.29	0.22	0.05
12	목포	북서	90˚	0.00	0.00	0.00	0.66	0.77	0.75	0.69	0.64	0.47	0.00	0.00	0.00
12	목포	북동	90˚	0.00	0.00	0.00	0.64	0.77	0.74	0.75	0.73	0.47	0.00	0.00	0.00
12	목포	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	남	90˚	0.59	0.58	0.37	0.70	0.64	0.50	0.54	0.63	0.74	0.45	0.45	0.52
13	서산	남동	90˚	0.54	0.50	0.31	0.59	0.54	0.45	0.46	0.54	0.59	0.42	0.31	0.43
13	서산	남서	90˚	0.46	0.52	0.37	0.57	0.54	0.48	0.44	0.49	0.58	0.39	0.43	0.43
13	서산	동	90˚	0.18	0.22	0.17	0.41	0.41	0.35	0.35	0.40	0.37	0.19	0.11	0.07
13	서산	서	90˚	0.21	0.24	0.23	0.37	0.40	0.38	0.33	0.34	0.37	0.21	0.11	0.17
13	서산	북서	90˚	0.00	0.00	0.00	0.58	0.75	0.76	0.61	0.58	0.42	0.00	0.00	0.00
13	서산	북동	90˚	0.00	0.00	0.00	0.65	0.78	0.69	0.65	0.73	0.43	0.00	0.00	0.00
13	서산	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	남	90˚	0.72	0.67	0.52	0.72	0.59	0.49	0.55	0.60	0.74	0.58	0.68	0.75
14	진주	남동	90˚	0.61	0.57	0.50	0.59	0.49	0.48	0.49	0.55	0.60	0.48	0.54	0.60
14	진주	남서	90˚	0.65	0.60	0.54	0.58	0.50	0.50	0.46	0.49	0.60	0.54	0.57	0.66
14	진주	동	90˚	0.32	0.35	0.34	0.41	0.37	0.38	0.38	0.40	0.39	0.22	0.22	0.26
14	진주	서	90˚	0.37	0.38	0.37	0.40	0.38	0.39	0.35	0.34	0.39	0.32	0.28	0.35
14	진주	북서	90˚	0.00	0.00	0.01	0.64	0.70	0.79	0.71	0.60	0.49	0.00	0.00	0.00
14	진주	북동	90˚	0.00	0.00	0.00	0.68	0.69	0.77	0.75	0.73	0.49	0.00	0.00	0.00
14	진주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	남	90˚	0.72	0.65	0.43	0.72	0.63	0.50	0.56	0.64	0.71	0.49	0.62	0.70
15	포항	남동	90˚	0.65	0.58	0.41	0.58	0.53	0.48	0.47	0.51	0.56	0.41	0.51	0.58
15	포항	남서	90˚	0.64	0.59	0.47	0.59	0.53	0.50	0.48	0.55	0.57	0.39	0.52	0.64
15	포항	동	90˚	0.36	0.32	0.24	0.40	0.39	0.37	0.36	0.36	0.35	0.14	0.25	0.23
15	포항	서	90˚	0.31	0.33	0.32	0.41	0.40	0.40	0.37	0.39	0.36	0.19	0.25	0.30
15	포항	북서	90˚	0.00	0.00	0.00	0.68	0.76	0.85	0.73	0.72	0.37	0.00	0.00	0.00
15	포항	북동	90˚	0.00	0.00	0.00	0.65	0.76	0.75	0.70	0.60	0.37	0.00	0.00	0.00
15	포항	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16	제주	남	90˚	0.33	0.48	0.35	0.68	0.59	0.45	0.53	0.65	0.74	0.44	0.43	0.40
16	제주	남동	90˚	0.30	0.40	0.39	0.57	0.54	0.46	0.52	0.55	0.60	0.45	0.34	0.28
16	제주	남서	90˚	0.23	0.37	0.37	0.56	0.50	0.47	0.46	0.53	0.59	0.33	0.30	0.34
16	제주	동	90˚	0.08	0.14	0.25	0.41	0.42	0.36	0.41	0.41	0.40	0.27	0.15	0.07
16	제주	서	90˚	0.06	0.14	0.21	0.40	0.37	0.36	0.35	0.40	0.38	0.08	0.13	0.09
16	제주	북서	90˚	0.00	0.00	0.01	0.76	0.68	0.75	0.66	0.72	0.52	0.00	0.00	0.00
16	제주	북동	90˚	0.00	0.00	0.10	0.73	0.83	0.74	0.79	0.77	0.55	0.00	0.00	0.00
16	제주	북	90˚	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17	안동	남	90˚	0.67	0.53	0.46	0.67	0.65	0.52	0.55	0.63	0.72	0.40	0.34	0.67
17	안동	남동	90˚	0.57	0.48	0.47	0.55	0.54	0.50	0.47	0.52	0.59	0.39	0.26	0.56
17	안동	남서	90˚	0.56	0.47	0.45	0.55	0.54	0.49	0.46	0.50	0.55	0.32	0.24	0.57
17	안동	동	90˚	0.26	0.23	0.31	0.39	0.40	0.39	0.36	0.37	0.38	0.17	0.01	0.23
