지역코드	지역명	속도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
06	청주	5.5	0	0	0	4	1	1	0	0	0	0	1	0
06	청주	6	0	0	0	2	0	0	0	0	0	0	0	0
06	청주	6.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	7	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	7.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	8	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	8.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	9	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	9.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	10	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	10.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	11	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	11.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	12	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	12.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	13	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	13.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	14	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	14.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	15	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	15.5	0	0	0	0	0	0	0	0	0	0	0	0
06	청주	16	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	0	37	26	21	18	13	14	125	18	66	41	44	93
07	대전	0.5	161	123	99	83	81	82	44	114	136	165	127	181
07	대전	1	198	158	120	98	118	147	88	171	177	206	170	129
07	대전	1.5	132	107	109	114	122	150	114	127	124	146	150	104
07	대전	2	77	69	90	104	111	115	112	98	80	71	98	71
07	대전	2.5	46	51	75	95	80	74	87	75	54	41	49	41
07	대전	3	39	47	77	72	78	52	66	55	37	32	30	37
07	대전	3.5	20	35	50	61	57	30	58	23	24	13	21	26
07	대전	4	10	21	38	26	39	23	25	25	14	11	14	30
07	대전	4.5	8	14	27	22	22	17	14	16	7	6	5	16
07	대전	5	11	10	16	14	12	7	10	13	1	8	7	6
07	대전	5.5	5	7	13	6	8	3	1	2	0	2	4	6
07	대전	6	0	2	4	6	2	3	0	2	0	2	1	1
07	대전	6.5	0	2	4	1	1	2	0	2	0	0	0	3
07	대전	7	0	0	1	0	0	1	0	2	0	0	0	0
07	대전	7.5	0	0	0	0	0	0	0	1	0	0	0	0
07	대전	8	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	8.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	9	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	9.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	10	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	10.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	11	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	11.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	12	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	12.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	13	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	13.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	14	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	14.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	15	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	15.5	0	0	0	0	0	0	0	0	0	0	0	0
07	대전	16	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	0	10	13	5	5	7	4	7	39	11	19	22	17
08	대구	0.5	97	66	42	33	54	27	60	61	63	95	116	79
08	대구	1	108	106	90	91	124	78	144	81	134	188	161	125
08	대구	1.5	95	110	133	109	138	128	147	121	135	163	126	101
08	대구	2	113	90	105	111	117	110	114	100	113	79	77	74
08	대구	2.5	109	77	94	113	87	90	96	90	66	64	56	63
08	대구	3	79	77	58	73	58	88	74	83	81	64	63	58
08	대구	3.5	44	49	72	47	43	79	46	75	48	34	44	66
08	대구	4	45	38	44	54	40	61	22	41	39	17	22	61
08	대구	4.5	23	20	38	37	28	42	13	27	22	16	12	42
08	대구	5	9	16	28	35	18	9	15	13	7	3	7	31
08	대구	5.5	10	7	10	8	10	4	4	3	1	2	5	8
08	대구	6	2	2	10	4	7	0	1	4	0	0	5	12
08	대구	6.5	0	1	9	0	4	0	1	3	0	0	4	6
08	대구	7	0	0	6	0	5	0	0	3	0	0	0	0
08	대구	7.5	0	0	0	0	2	0	0	0	0	0	0	1
08	대구	8	0	0	0	0	2	0	0	0	0	0	0	0
08	대구	8.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	9	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	9.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	10	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	10.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	11	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	11.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	12	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	12.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	13	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	13.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	14	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	14.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	15	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	15.5	0	0	0	0	0	0	0	0	0	0	0	0
08	대구	16	0	0	0	0	0	0	0	0	0	0	0	0
09	전주	0	41	40	21	14	38	15	18	21	11	80	14	44
