지역코드	지역명	방향	각도	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월	연간합
13	서산	서	90˚	21120.34	24642.97	26532.06	26432.55	28276.04	26651.74	24030.23	25021.09	25293.21	23361.82	20864.44	19581.61	212949.12
13	서산	북서	30˚	15234.03	22038.60	29946.22	36999.47	43020.89	41630.53	37323.02	36718.77	31989.46	23957.28	17027.77	13421.29	255234.34
13	서산	북서	45˚	12037.79	17134.75	24852.33	30749.71	37120.20	37016.86	32987.35	31251.33	26602.05	19287.18	13819.53	10626.79	214523.27
13	서산	북서	60˚	10951.17	14459.43	20956.57	25309.88	31122.81	31574.21	28063.23	26253.89	22217.56	16345.59	12253.44	9619.05	182116.76
13	서산	북서	90˚	10374.76	12430.54	16186.98	18485.10	22115.54	22197.47	20297.04	19617.29	16960.03	13337.88	10886.34	9150.93	140337.99
13	서산	북동	30˚	15972.80	22429.59	28454.41	37982.99	43219.70	40533.40	38040.87	39377.72	32170.40	24028.22	16210.26	13265.06	256993.49
13	서산	북동	45˚	12478.86	17490.75	23215.51	31995.18	37396.57	35476.39	33941.91	34685.69	26779.89	19382.30	13140.88	10426.44	216692.57
13	서산	북동	60˚	10999.47	14775.14	19615.83	26590.81	31379.38	29921.97	29165.31	29790.22	22395.59	16466.76	11774.02	9434.93	184478.04
13	서산	북동	90˚	10362.40	12539.32	15611.02	19438.10	22403.32	21291.70	21070.92	21697.15	17030.83	13542.39	10605.87	9038.37	142262.12
13	서산	북	30˚	8902.25	14960.87	24912.13	34707.33	41904.61	40640.43	37009.72	36376.21	28533.41	18453.89	10935.23	7659.09	223083.63
13	서산	북	45˚	8495.89	9159.36	15989.28	26123.64	34814.66	35265.83	32222.55	29739.87	19978.11	11050.71	9448.21	7972.15	175914.57
13	서산	북	60˚	8949.99	9615.95	11948.33	16579.24	26106.62	28195.93	25934.20	21792.44	13176.03	10865.53	9741.52	8277.79	139923.60
