지역코드	지역명	유형	구분	단위	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
03	서울	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
03	서울	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	선택운전	온도등급 1: θe = -7℃	[h]	0.50	0.37	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.49
04	인천	선택운전	온도등급 2: θe = 2℃	[h]	0.10	0.06	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.04
04	인천	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	병렬운전	온도등급 1: θe = -7℃	[h]	0.40	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
04	인천	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.41	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45
04	인천	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
04	인천	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	선택운전	온도등급 1: θe = -7℃	[h]	0.71	0.46	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.53
05	원주	선택운전	온도등급 2: θe = 2℃	[h]	0.07	0.07	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.06
05	원주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	병렬운전	온도등급 1: θe = -7℃	[h]	0.62	0.37	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.47
05	원주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.75	0.45	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.55
05	원주	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
05	원주	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	선택운전	온도등급 1: θe = -7℃	[h]	0.39	0.14	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.45
06	청주	선택운전	온도등급 2: θe = 2℃	[h]	0.11	0.07	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.06
06	청주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	병렬운전	온도등급 1: θe = -7℃	[h]	0.32	0.10	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38
06	청주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.33	0.10	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43
06	청주	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
06	청주	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	선택운전	온도등급 1: θe = -7℃	[h]	0.65	0.32	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.46
07	대전	선택운전	온도등급 2: θe = 2℃	[h]	0.07	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.06
07	대전	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	병렬운전	온도등급 1: θe = -7℃	[h]	0.54	0.26	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.38
07	대전	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.62	0.27	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.44
07	대전	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
07	대전	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	선택운전	온도등급 1: θe = -7℃	[h]	0.28	0.13	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.24
08	대구	선택운전	온도등급 2: θe = 2℃	[h]	0.09	0.05	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.07
08	대구	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	병렬운전	온도등급 1: θe = -7℃	[h]	0.20	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17
08	대구	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.20	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17
08	대구	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
08	대구	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	선택운전	온도등급 1: θe = -7℃	[h]	0.42	0.29	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.14
09	전주	선택운전	온도등급 2: θe = 2℃	[h]	0.10	0.09	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.09
09	전주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	병렬운전	온도등급 1: θe = -7℃	[h]	0.33	0.23	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.09
09	전주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.33	0.25	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.09
09	전주	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
09	전주	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	선택운전	온도등급 1: θe = -7℃	[h]	0.28	0.23	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.04
10	광주	선택운전	온도등급 2: θe = 2℃	[h]	0.11	0.09	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.05
10	광주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	병렬운전	온도등급 1: θe = -7℃	[h]	0.15	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
10	광주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.15	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
10	광주	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10	광주	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	선택운전	온도등급 1: θe = -7℃	[h]	0.18	0.05	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10
11	부산	선택운전	온도등급 2: θe = 2℃	[h]	0.08	0.04	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08
11	부산	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	병렬운전	온도등급 1: θe = -7℃	[h]	0.11	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
11	부산	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.11	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
11	부산	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11	부산	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	선택운전	온도등급 1: θe = -7℃	[h]	0.07	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	선택운전	온도등급 2: θe = 2℃	[h]	0.14	0.09	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
12	목포	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	병렬운전	온도등급 1: θe = -7℃	[h]	0.05	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.05	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12	목포	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	선택운전	온도등급 1: θe = -7℃	[h]	0.59	0.41	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18
13	서산	선택운전	온도등급 2: θe = 2℃	[h]	0.08	0.09	0.04	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10
13	서산	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	병렬운전	온도등급 1: θe = -7℃	[h]	0.46	0.32	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12
13	서산	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.48	0.39	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12
13	서산	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13	서산	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	선택운전	온도등급 1: θe = -7℃	[h]	0.49	0.27	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.34
14	진주	선택운전	온도등급 2: θe = 2℃	[h]	0.08	0.08	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.08
14	진주	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	병렬운전	온도등급 1: θe = -7℃	[h]	0.40	0.21	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.24
14	진주	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.44	0.22	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.24
14	진주	부분병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	부분병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14	진주	부분병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	선택운전	온도등급 1: θe = -7℃	[h]	0.22	0.07	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09
15	포항	선택운전	온도등급 2: θe = 2℃	[h]	0.08	0.03	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
15	포항	선택운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	선택운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	병렬운전	온도등급 1: θe = -7℃	[h]	0.15	0.05	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
15	포항	병렬운전	온도등급 2: θe = 2℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	병렬운전	온도등급 3: θe = 7℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	병렬운전	온도등급 4: θe = 20℃	[h]	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15	포항	부분병렬운전	온도등급 1: θe = -7℃	[h]	0.15	0.05	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
