지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
03	서울	8	0.63	0.69	0.62	0.60	0.64	0.73	0.81	0.78	0.71	0.70	0.68	0.64	
03	서울	9	0.58	0.64	0.56	0.56	0.59	0.68	0.77	0.74	0.67	0.63	0.62	0.61	
03	서울	10	0.52	0.57	0.51	0.51	0.55	0.64	0.74	0.72	0.62	0.57	0.57	0.57	
03	서울	11	0.47	0.52	0.47	0.47	0.51	0.59	0.71	0.70	0.58	0.54	0.52	0.52	
03	서울	12	0.43	0.46	0.44	0.44	0.47	0.55	0.68	0.67	0.54	0.50	0.48	0.49	
03	서울	13	0.41	0.42	0.40	0.43	0.45	0.54	0.66	0.65	0.52	0.47	0.45	0.47	
03	서울	14	0.40	0.39	0.39	0.44	0.43	0.52	0.64	0.64	0.50	0.43	0.44	0.45	
03	서울	15	0.39	0.37	0.38	0.44	0.42	0.51	0.63	0.64	0.49	0.43	0.43	0.45	
03	서울	16	0.41	0.37	0.39	0.44	0.43	0.52	0.64	0.65	0.50	0.45	0.44	0.45	
03	서울	17	0.42	0.39	0.41	0.45	0.45	0.53	0.65	0.67	0.51	0.46	0.47	0.47	
03	서울	18	0.46	0.44	0.42	0.47	0.48	0.56	0.66	0.68	0.54	0.52	0.51	0.50	
03	서울	19	0.50	0.48	0.46	0.50	0.51	0.60	0.70	0.71	0.57	0.57	0.54	0.53	
03	서울	20	0.53	0.52	0.49	0.52	0.57	0.64	0.72	0.74	0.61	0.59	0.55	0.54	
03	서울	21	0.55	0.54	0.51	0.54	0.59	0.66	0.74	0.75	0.63	0.63	0.57	0.56	
03	서울	22	0.56	0.56	0.54	0.56	0.60	0.69	0.76	0.76	0.65	0.65	0.59	0.57	
03	서울	23	0.56	0.58	0.56	0.58	0.62	0.71	0.78	0.78	0.66	0.67	0.61	0.59	
03	서울	24	0.57	0.60	0.59	0.59	0.66	0.72	0.79	0.80	0.67	0.69	0.63	0.60	
04	인천	1	0.60	0.64	0.64	0.71	0.73	0.76	0.89	0.88	0.83	0.73	0.71	0.65	
04	인천	2	0.60	0.64	0.65	0.74	0.75	0.78	0.89	0.89	0.84	0.75	0.71	0.65	
04	인천	3	0.59	0.65	0.65	0.75	0.76	0.80	0.90	0.89	0.86	0.75	0.70	0.66	
04	인천	4	0.60	0.67	0.66	0.76	0.77	0.80	0.90	0.90	0.86	0.77	0.70	0.67	
04	인천	5	0.60	0.68	0.66	0.76	0.77	0.81	0.91	0.90	0.86	0.78	0.71	0.68	
04	인천	6	0.61	0.68	0.67	0.76	0.78	0.81	0.91	0.90	0.86	0.79	0.72	0.67	
04	인천	7	0.63	0.68	0.68	0.74	0.77	0.80	0.90	0.89	0.86	0.79	0.72	0.67	
04	인천	8	0.64	0.67	0.67	0.70	0.71	0.76	0.89	0.86	0.84	0.76	0.72	0.66	
04	인천	9	0.62	0.65	0.62	0.66	0.67	0.71	0.87	0.83	0.77	0.68	0.69	0.64	
04	인천	10	0.57	0.60	0.60	0.61	0.63	0.67	0.86	0.81	0.72	0.64	0.65	0.60	
04	인천	11	0.52	0.56	0.56	0.57	0.59	0.63	0.83	0.80	0.69	0.60	0.62	0.57	
04	인천	12	0.48	0.54	0.55	0.53	0.58	0.62	0.81	0.75	0.66	0.56	0.60	0.56	
04	인천	13	0.46	0.51	0.56	0.51	0.57	0.60	0.80	0.74	0.64	0.57	0.58	0.56	
04	인천	14	0.44	0.49	0.55	0.49	0.57	0.60	0.78	0.71	0.62	0.54	0.58	0.56	
04	인천	15	0.43	0.48	0.57	0.50	0.58	0.61	0.78	0.71	0.62	0.55	0.57	0.54	
04	인천	16	0.44	0.50	0.57	0.52	0.58	0.63	0.78	0.72	0.64	0.57	0.58	0.55	
04	인천	17	0.47	0.52	0.60	0.54	0.59	0.63	0.80	0.74	0.66	0.59	0.60	0.57	
04	인천	18	0.52	0.55	0.61	0.55	0.61	0.66	0.82	0.76	0.69	0.64	0.63	0.58	
04	인천	19	0.55	0.57	0.64	0.60	0.65	0.68	0.85	0.80	0.72	0.68	0.65	0.59	
04	인천	20	0.58	0.58	0.66	0.64	0.68	0.71	0.87	0.83	0.74	0.70	0.67	0.59	
04	인천	21	0.59	0.60	0.67	0.66	0.70	0.74	0.87	0.85	0.76	0.70	0.68	0.61	
04	인천	22	0.58	0.62	0.66	0.66	0.71	0.74	0.88	0.86	0.78	0.71	0.69	0.63	
04	인천	23	0.60	0.64	0.64	0.67	0.70	0.76	0.88	0.86	0.79	0.72	0.70	0.64	
