방위,γF,Dclass,Etask,"FD,SNA"
남서,45,Low,100,0.94
남서,45,Low,300,0.78
남서,45,Low,500,0.61
남서,45,Low,750,0.45
남서,45,Low,1000,0.34
남서,45,Medium,100,0.97
남서,45,Medium,300,0.9
남서,45,Medium,500,0.81
남서,45,Medium,750,0.69
남서,45,Medium,1000,0.58
남서,45,Strong,100,0.98
남서,45,Strong,300,0.94
남서,45,Strong,500,0.89
남서,45,Strong,750,0.81
남서,45,Strong,1000,0.74
남서,60,None,100,0
남서,60,None,300,0
남서,60,None,500,0
남서,60,None,750,0
남서,60,None,1000,0
남서,60,Low,100,0.94
남서,60,Low,300,0.75
남서,60,Low,500,0.56
남서,60,Low,750,0.4
남서,60,Low,1000,0.3
남서,60,Medium,100,0.96
남서,60,Medium,300,0.89
남서,60,Medium,500,0.78
남서,60,Medium,750,0.64
남서,60,Medium,1000,0.53
남서,60,Strong,100,0.97
남서,60,Strong,300,0.93
남서,60,Strong,500,0.88
남서,60,Strong,750,0.79
남서,60,Strong,1000,0.7
남서,90,None,100,0
남서,90,None,300,0
남서,90,None,500,0
남서,90,None,750,0
남서,90,None,1000,0
남서,90,Low,100,0.92
남서,90,Low,300,0.66
남서,90,Low,500,0.45
남서,90,Low,750,0.3
남서,90,Low,1000,0.23
남서,90,Medium,100,0.95
남서,90,Medium,300,0.83
남서,90,Medium,500,0.69
남서,90,Medium,750,0.53
남서,90,Medium,1000,0.41
남서,90,Strong,100,0.97
남서,90,Strong,300,0.91
남서,90,Strong,500,0.82
남서,90,Strong,750,0.7
남서,90,Strong,1000,0.59
동,30,None,100,0
동,30,None,300,0
동,30,None,500,0
동,30,None,750,0
동,30,None,1000,0
동,30,Low,100,0.95
동,30,Low,300,0.8
동,30,Low,500,0.64
동,30,Low,750,0.48
동,30,Low,1000,0.36
동,30,Medium,100,0.97
동,30,Medium,300,0.91
동,30,Medium,500,0.82
동,30,Medium,750,0.71
동,30,Medium,1000,0.6
동,30,Strong,100,0.98
동,30,Strong,300,0.95
동,30,Strong,500,0.9
동,30,Strong,750,0.83
동,30,Strong,1000,0.76
동,45,None,100,0
동,45,None,300,0
동,45,None,500,0
동,45,None,750,0
동,45,None,1000,0
동,45,Low,100,0.95
동,45,Low,300,0.78
동,45,Low,500,0.6
동,45,Low,750,0.43
동,45,Low,1000,0.33
동,45,Medium,100,0.97
동,45,Medium,300,0.9
동,45,Medium,500,0.8
동,45,Medium,750,0.67
동,45,Medium,1000,0.56
동,45,Strong,100,0.98
동,45,Strong,300,0.94
동,45,Strong,500,0.89
동,45,Strong,750,0.81
동,45,Strong,1000,0.73
동,60,None,100,0
동,60,None,300,0
동,60,None,500,0
동,60,None,750,0
동,60,None,1000,0
동,60,Low,100,0.94
동,60,Low,300,0.75
동,60,Low,500,0.56
동,60,Low,750,0.39
동,60,Low,1000,0.29
동,60,Medium,100,0.97
동,60,Medium,300,0.89
동,60,Medium,500,0.78
동,60,Medium,750,0.64
동,60,Medium,1000,0.52
동,60,Strong,100,0.98
동,60,Strong,300,0.94
동,60,Strong,500,0.88
동,60,Strong,750,0.79
동,60,Strong,1000,0.59
동,90,None,100,0
동,90,None,300,0
동,90,None,500,0
동,90,None,750,0
동,90,None,1000,0
동,90,Low,100,0.92
동,90,Low,300,0.66
동,90,Low,500,0.45
동,90,Low,750,0.3
동,90,Low,1000,0.23
동,90,Medium,100,0.96
동,90,Medium,300,0.84
동,90,Medium,500,0.7
동,90,Medium,750,0.53
동,90,Medium,1000,0.41
동,90,Strong,100,0.97
동,90,Strong,300,0.91
동,90,Strong,500,0.83
동,90,Strong,750,0.71
동,90,Strong,1000,0.6
서,30,None,100,0
서,30,None,300,0
서,30,None,500,0
서,30,None,750,0
서,30,None,1000,0
서,30,Low,100,0.95
서,30,Low,300,0.8
서,30,Low,500,0.64
서,30,Low,750,0.48
서,30,Low,1000,0.36
서,30,Medium,100,0.97
서,30,Medium,300,0.91
서,30,Medium,500,0.82
서,30,Medium,750,0.71
서,30,Medium,1000,0.6
서,30,Strong,100,0.98
서,30,Strong,300,0.95
서,30,Strong,500,0.9
