커튼월 명칭,커튼월 면적,너비,높이,고정창 유리면적,개폐창 유리면적,고정창유리둘레길이,개폐창유리둘레길이,패널면적,패널둘레길이,M/T프레임면적,개폐창프레임면적,출입문 프레임면적,출입문 유리면적,출입문유리둘레길이
SSD1_1,9.635,4.1,2.35,4.596,0,23.57,0,0,0,1.385,0,0.446,3.208,7.2
SSD1_2,1.845,0.785,2.32,1.024,0,5.47,0,0,0,0.82,0,0,0,0
SSD2,1.636,0.81,2.02,0.824,0,5.18,0,0,0,0.322,0,0.156,0.335,2.352
SSD1_new,9.635,4.1,2.35,4.596,0,23.57,0,0,0,1.385,0,0.446,3.208,7.2
SSD1_2_new,1.845,0.785,2.32,1.024,0,5.47,0,0,0,0.82,0,0,0,0
SSD2_new,1.636,0.81,2.02,0.824,0,5.18,0,0,0,0.322,0,0.156,0.335,2.352
SSD3_new,4.41,2.1,2.1,1.796,0,12.12,0,0,0,0.724,0,0.346,1.544,5.52
