방위,γF,Dclass,Etask,"FD,SA"
남서,45,Low,500,0.85
남서,45,Low,750,0.74
남서,45,Low,1000,0.61
남서,45,Medium,100,1
남서,45,Medium,300,0.97
남서,45,Medium,500,0.94
남서,45,Medium,750,0.9
남서,45,Medium,1000,0.85
남서,45,Strong,100,1
남서,45,Strong,300,0.99
남서,45,Strong,500,0.97
남서,45,Strong,750,0.94
남서,45,Strong,1000,0.91
남서,60,None,100,0
남서,60,None,300,0
남서,60,None,500,0
남서,60,None,750,0
남서,60,None,1000,0
남서,60,Low,100,0.99
남서,60,Low,300,0.94
남서,60,Low,500,0.86
남서,60,Low,750,0.75
남서,60,Low,1000,0.6
남서,60,Medium,100,1
남서,60,Medium,300,0.98
남서,60,Medium,500,0.96
남서,60,Medium,750,0.91
남서,60,Medium,1000,0.86
남서,60,Strong,100,1
남서,60,Strong,300,0.99
남서,60,Strong,500,0.98
남서,60,Strong,750,0.96
남서,60,Strong,1000,0.93
남서,90,None,100,0
남서,90,None,300,0
남서,90,None,500,0
남서,90,None,750,0
남서,90,None,1000,0
남서,90,Low,100,0.99
남서,90,Low,300,0.93
남서,90,Low,500,0.84
남서,90,Low,750,0.66
남서,90,Low,1000,0.5
남서,90,Medium,100,0.99
남서,90,Medium,300,0.98
남서,90,Medium,500,0.95
남서,90,Medium,750,0.9
남서,90,Medium,1000,0.84
남서,90,Strong,100,1
남서,90,Strong,300,0.99
남서,90,Strong,500,0.98
남서,90,Strong,750,0.95
남서,90,Strong,1000,0.92
동,30,None,100,0
동,30,None,300,0
동,30,None,500,0
동,30,None,750,0
동,30,None,1000,0
동,30,Low,100,0.99
동,30,Low,300,0.91
동,30,Low,500,0.81
동,30,Low,750,0.68
동,30,Low,1000,0.54
동,30,Medium,100,1
동,30,Medium,300,0.98
동,30,Medium,500,0.94
동,30,Medium,750,0.87
동,30,Medium,1000,0.81
동,30,Strong,100,1
동,30,Strong,300,0.99
동,30,Strong,500,0.97
동,30,Strong,750,0.94
동,30,Strong,1000,0.89
동,45,None,100,0
동,45,None,300,0
동,45,None,500,0
동,45,None,750,0
동,45,None,1000,0
동,45,Low,100,0.99
동,45,Low,300,0.91
동,45,Low,500,0.81
동,45,Low,750,0.68
동,45,Low,1000,0.54
동,45,Medium,100,1
동,45,Medium,300,0.98
동,45,Medium,500,0.94
동,45,Medium,750,0.87
동,45,Medium,1000,0.81
동,45,Strong,100,1
동,45,Strong,300,0.99
동,45,Strong,500,0.98
동,45,Strong,750,0.94
동,45,Strong,1000,0.9
동,60,None,100,0
동,60,None,300,0
동,60,None,500,0
동,60,None,750,0
동,60,None,1000,0
동,60,Low,100,0.99
동,60,Low,300,0.92
동,60,Low,500,0.81
동,60,Low,750,0.67
동,60,Low,1000,0.53
동,60,Medium,100,1
동,60,Medium,300,0.98
동,60,Medium,500,0.95
동,60,Medium,750,0.88
동,60,Medium,1000,0.81
동,60,Strong,100,1
동,60,Strong,300,0.99
동,60,Strong,500,0.98
동,60,Strong,750,0.95
동,60,Strong,1000,0.9
동,90,None,100,0
동,90,None,300,0
동,90,None,500,0
동,90,None,750,0
동,90,None,1000,0
동,90,Low,100,0.99
동,90,Low,300,0.89
동,90,Low,500,0.75
동,90,Low,750,0.58
동,90,Low,1000,0.44
동,90,Medium,100,0.99
동,90,Medium,300,0.98
동,90,Medium,500,0.92
동,90,Medium,750,0.84
동,90,Medium,1000,0.75
동,90,Strong,100,0.99
동,90,Strong,300,0.99
