방위,기준조도,D,FD_S_SNA
서,300,1,0.64141636
서,300,1.5,0.719393726
서,300,2,0.711044493
서,300,3,0.758624929
서,300,5,0.77074053
서,300,8,0.798599865
서,300,12,0.809109968
서,300,18,0.82206227
서,500,0.125,0.128748592
서,500,0.5,0.385245775
서,500,1,0.524527104
서,500,1.5,0.639715467
서,500,2,0.641250633
서,500,3,0.704808433
서,500,5,0.728645134
서,500,8,0.768969304
서,500,12,0.784851274
서,500,18,0.799431709
서,750,0.125,0.082771226
서,750,0.5,0.248406645
서,750,1,0.370876337
서,750,1.5,0.503672626
서,750,2,0.516371091
서,750,3,0.59509462
서,750,5,0.628514185
서,750,8,0.676119683
서,750,12,0.696770451
서,750,18,0.716745387
서,1000,0.125,0.062165728
서,1000,0.5,0.18659015
서,1000,1,0.282361376
서,1000,1.5,0.415599865
서,1000,2,0.437554596
서,1000,3,0.533139889
서,1000,5,0.580071985
서,1000,8,0.637375949
서,1000,12,0.663004082
서,1000,18,0.686071985
북동,100,0.125,0.25671464
북동,100,0.5,0.769690403
북동,100,1,0.857313679
북동,100,1.5,0.897031135
북동,100,2,1.186614132
북동,100,3,0.908877939
북동,100,5,0.91107519
북동,100,8,0.926806392
북동,100,12,0.929364193
북동,100,18,0.93423606
북동,300,0.125,0.187413105
북동,300,0.5,0.562692832
북동,300,1,0.684320965
북동,300,1.5,0.768099865
북동,300,2,0.759250633
북동,300,3,0.811086119
북동,300,5,0.824259521
북동,300,8,0.854141491
북동,300,12,0.865988295
북동,300,18,0.87528983
북동,500,0.125,0.137748592
북동,500,0.5,0.413199292
북동,500,1,0.562631388
북동,500,1.5,0.686191618
북동,500,2,0.6876803
북동,500,3,0.756342385
북동,500,5,0.782457986
북동,500,8,0.825979406
북동,500,12,0.84296566
북동,500,18,0.853813679
북동,750,0.125,0.092829027
북동,750,0.5,0.278126531
북동,750,1,0.416955558
북동,750,1.5,0.565739315
북동,750,2,0.580251847
북동,750,3,0.669102294
북동,750,5,0.706812076
북동,750,8,0.761230427
북동,750,12,0.785822179
북동,750,18,0.800053382
북동,1000,0.125,0.070630562
북동,1000,0.5,0.263860111
북동,1000,1,0.322336313
북동,1000,1.5,0.47392282
북동,1000,2,0.498284584
북동,1000,3,0.607857345
북동,1000,5,0.661533176
북동,1000,8,0.727557025
북동,1000,12,0.75771911
북동,1000,18,0.774136246
북,100,0.125,0.245818924
북,100,0.5,0.738456772
북,100,1,0.821987081
북,100,1.5,0.860565087
북,100,2,0.847379153
북,100,3,0.871818924
북,100,5,0.874469691
북,100,8,0.889607927
북,100,12,0.892165728
북,100,18,0.837766369
북,300,0.125,0.162424422
북,300,0.5,0.4881803
북,300,1,0.592785799
북,300,1.5,0.665227998
북,300,2,0.657785799
북,300,3,0.701645134
북,300,5,0.712853702
북,300,8,0.738806005
북,300,12,70.17173228
북,300,18,0.765803576
북,500,0.125,0.11151496
북,500,0.5,0.335358948
북,500,1,0.456499612
북,500,1.5,0.557175443
북,500,2,0.557803576
북,500,3,0.614105111
북,500,5,0.635220712
북,500,8,0.671009715
북,500,12,0.685077619
북,500,18,0.706007286
북,750,0.125,0.071700894
북,750,0.5,0.216102682
북,750,1,0.323595008
북,750,1.5,0.438878766
북,750,2,0.450577231
북,750,3,0.51813746
북,750,5,0.547742959
북,750,8,0.588720324
북,750,12,0.607278125
북,750,18,0.633788228
북,1000,0.125,0.053002429
북,1000,0.5,0.15891432
북,1000,1,0.241615213
북,1000,1.5,0.354434137
북,1000,2,0.373667769
북,1000,3,0.455275696
북,1000,5,0.494765593
북,1000,8,0.543534391
북,1000,12,0.565348457
북,1000,18,0.594951527
북서,100,0.125,0.24935409
북서,100,0.5,0.748608754
북서,100,1,0.833453129
북서,100,1.5,0.872438168
북서,100,2,1.162521165
북서,100,3,0.883692005
북서,100,5,0.886296289
북서,100,8,0.901434525
북서,100,12,0.903992326
북서,100,18,0.879571547
북서,300,0.125,0.169273655
북서,300,0.5,0.508320965
북서,300,1,0.61710108
북서,300,1.5,0.692310862
북서,300,2,0.684415146
북서,300,3,0.730135031
북서,300,5,0.741797116
북서,300,8,0.768702935
북서,300,12,35.49042112
북서,300,18,0.793932923
북서,500,0.125,0.120131776
북서,500,0.5,0.360302361
북서,500,1,0.490513358
북서,500,1.5,0.598445455
북서,500,2,0.599527104
북서,500,3,0.659456772
북서,500,5,0.681932923
북서,500,8,0.719989509
북서,500,12,0.734964446
북서,500,18,0.752719497
북서,750,0.125,0.07723606
북서,750,0.5,0.232254664
북서,750,1,0.347235672
북서,750,1.5,0.471275696
북서,750,2,0.483474161
북서,750,3,0.55661604
북서,750,5,0.588128572
북서,750,8,0.632420004
북서,750,12,0.652024288
북서,750,18,0.675266807
북서,1000,0.125,0.057584078
북서,1000,0.5,0.172752235
북서,1000,1,0.261988295
북서,1000,1.5,0.385017001
북서,1000,2,0.405611183
북서,1000,3,0.494207792
북서,1000,5,0.537418789
북서,1000,8,0.59045517
북서,1000,12,0.614176269
북서,1000,18,0.640511756
